image,adult_males,subadult_males,adult_females,juveniles,pups,unknown
407.jpg,"[(3696, 2669), (3442, 2009), (2214, 1854), (1486, 1053), (2396, 586)]","[(3091, 3214), (1923, 2197)]","[(3739, 3009), (1402, 1631), (2276, 718), (2250, 582)]",[],[],[]
408.jpg,"[(872, 2896), (116, 2625), (1077, 2365), (482, 2355), (218, 2122), (1089, 2088), (668, 1820), (922, 1715), (991, 1389)]","[(593, 855), (1167, 835), (895, 713), (612, 528), (1210, 371)]","[(936, 2665), (98, 2572), (32, 2540), (299, 2536), (393, 2496), (308, 2487), (92, 2464), (268, 2458), (604, 2455), (710, 2429), (414, 2412), (347, 2403), (1004, 2389), (956, 2357), (640, 2354), (368, 2340), (726, 2338), (869, 2337), (433, 2297), (810, 2289), (518, 2268), (729, 2264), (90, 2254), (859, 2239), (654, 2218), (453, 2216), (293, 2206), (164, 2206), (194, 2154), (692, 2153), (765, 2144), (569, 2140), (429, 2092), (240, 2087), (574, 2074), (714, 2049), (604, 2014), (526, 1974), (688, 1932), (960, 1911), (873, 1834), (975, 1825), (819, 1746), (978, 1704), (931, 1671)]","[(707, 2069), (656, 1986)]","[(956, 2640), (93, 2553), (267, 2529), (80, 2482), (726, 2471), (308, 2464), (338, 2449), (587, 2439), (416, 2433), (1041, 2402), (342, 2386), (628, 2373), (933, 2357), (361, 2348), (535, 2259), (97, 2227), (297, 2226), (422, 2225), (726, 2222), (874, 2213), (639, 2192), (184, 2192), (198, 2178), (715, 2172), (578, 2158), (642, 2150), (422, 2115), (270, 2103), (579, 2098), (737, 2031), (507, 1964), (725, 1948), (534, 1948), (954, 1938)]",[]
409.jpg,"[(5399, 1820), (5421, 1454), (4946, 609), (5487, 87)]",[],"[(5377, 1902), (5445, 1893), (5481, 1871), (5583, 1865), (5538, 1864), (5379, 1863), (5564, 1861), (5421, 1852), (5354, 1835), (5471, 1819), (5418, 1802), (5478, 1743), (5340, 1564)]","[(5412, 1884), (5391, 1848), (5329, 1845), (5366, 1844), (5434, 1772), (5408, 1736)]","[(5336, 1547)]",[]
410.jpg,"[(3697, 3110)]","[(2074, 3412), (3742, 3062)]",[],[],[],[]
411.jpg,"[(403, 2956), (519, 2659), (315, 2470), (716, 2461), (364, 2284), (585, 2164), (339, 1823), (573, 1807), (560, 1584), (105, 1584), (366, 1547), (421, 1384), (199, 1338), (415, 1203), (414, 1007), (274, 960), (404, 834)]",[],"[(502, 2841), (588, 2774), (544, 2769), (364, 2767), (610, 2751), (566, 2746), (630, 2736), (449, 2704), (625, 2693), (587, 2678), (553, 2614), (623, 2596), (680, 2590), (591, 2584), (639, 2541), (696, 2529), (316, 2523), (686, 2503), (429, 2497), (515, 2492), (462, 2474), (401, 2473), (212, 2462), (641, 2449), (498, 2447), (393, 2441), (567, 2434), (475, 2428), (438, 2425), (736, 2418), (281, 2418), (558, 2410), (257, 2397), (622, 2394), (571, 2372), (722, 2371), (365, 2354), (739, 2351), (255, 2351), (540, 2350), (331, 2345), (613, 2329), (529, 2329), (387, 2328), (630, 2319), (434, 2319), (700, 2314), (395, 2302), (513, 2300), (731, 2283), (415, 2274), (677, 2271), (434, 2267), (276, 2264), (256, 2250), (322, 2249), (400, 2248), (494, 2245), (589, 2241), (698, 2232), (249, 2232), (377, 2229), (492, 2225), (287, 2225), (785, 2218), (596, 2215), (492, 2187), (669, 2185), (727, 2179), (615, 2179), (236, 2179), (465, 2171), (515, 2166), (833, 2165), (314, 2164), (550, 2163), (679, 2162), (366, 2156), (729, 2153), (682, 2147), (398, 2147), (351, 2145), (411, 2142), (780, 2135), (423, 2135), (444, 2127), (595, 2126), (507, 2123), (542, 2122), (676, 2121), (484, 2108), (122, 2103), (843, 2091), (814, 2082), (735, 2075), (746, 2052), (787, 2028), (621, 2014), (706, 2009), (375, 2006), (433, 2004), (238, 1995), (422, 1992), (492, 1977), (746, 1972), (601, 1971), (467, 1969), (376, 1961), (241, 1958), (608, 1952), (478, 1948), (396, 1942), (463, 1941), (538, 1939), (496, 1939), (557, 1938), (429, 1928), (635, 1924), (563, 1924), (244, 1923), (353, 1920), (574, 1908), (463, 1908), (556, 1899), (250, 1892), (205, 1886), (556, 1878), (287, 1874), (253, 1873), (653, 1862), (304, 1857), (272, 1856), (237, 1846), (505, 1843), (283, 1827), (278, 1817), (393, 1788), (199, 1784), (631, 1780), (383, 1779), (271, 1777), (482, 1771), (676, 1767), (747, 1765), (342, 1763), (429, 1761), (267, 1758), (314, 1756), (68, 1756), (554, 1753), (160, 1740), (135, 1728), (184, 1721), (157, 1721), (354, 1703), (121, 1700), (318, 1697), (413, 1682), (128, 1680), (192, 1677), (270, 1673), (309, 1671), (252, 1671), (66, 1667), (476, 1663), (706, 1660), (247, 1655), (178, 1655), (418, 1654), (230, 1652), (161, 1646), (476, 1645), (132, 1643), (515, 1637), (333, 1633), (304, 1633), (113, 1631), (497, 1630), (198, 1629), (33, 1629), (55, 1617), (487, 1608), (69, 1604), (338, 1595), (159, 1595), (525, 1593), (179, 1589), (21, 1589), (356, 1584), (719, 1571), (154, 1569), (46, 1569), (335, 1565), (238, 1563), (481, 1562), (573, 1559), (186, 1547), (677, 1545), (314, 1537), (212, 1529), (563, 1527), (74, 1526), (312, 1524), (688, 1521), (365, 1520), (48, 1516), (152, 1514), (635, 1512), (478, 1507), (181, 1505), (400, 1504), (363, 1504), (653, 1502), (322, 1502), (432, 1501), (73, 1493), (132, 1490), (609, 1488), (356, 1486), (304, 1480), (264, 1480), (242, 1480), (341, 1479), (636, 1476), (55, 1475), (581, 1474), (292, 1472), (570, 1470), (618, 1464), (160, 1463), (408, 1458), (330, 1458), (32, 1458), (222, 1449), (337, 1446), (535, 1445), (352, 1445), (290, 1441), (444, 1438), (633, 1436), (35, 1434), (605, 1432), (506, 1430), (109, 1425), (577, 1422), (255, 1422), (149, 1421), (323, 1420), (357, 1419), (59, 1416), (535, 1404), (738, 1401), (375, 1401), (124, 1399), (503, 1394), (201, 1386), (145, 1381), (79, 1379), (707, 1368), (627, 1365), (612, 1361), (573, 1361), (651, 1357), (499, 1347), (676, 1346), (155, 1342), (374, 1339), (68, 1337), (362, 1326), (644, 1325), (622, 1325), (741, 1323), (524, 1321), (354, 1317), (570, 1312), (774, 1311), (276, 1311), (103, 1310), (368, 1306), (417, 1305), (347, 1304), (518, 1303), (649, 1301), (337, 1299), (740, 1297), (370, 1291), (661, 1288), (142, 1285), (203, 1275), (116, 1272), (578, 1269), (651, 1261), (98, 1258), (273, 1249), (139, 1244), (188, 1234), (236, 1226), (611, 1224), (146, 1223), (192, 1196), (218, 1194), (266, 1185), (132, 1174), (276, 1168), (223, 1164), (159, 1141), (369, 1133), (391, 1124), (301, 1123), (407, 1119), (340, 1118), (270, 1109), (346, 1092), (433, 1089), (450, 1074), (407, 1073), (430, 1050), (468, 1049), (405, 1049), (315, 1019), (464, 989), (353, 984), (425, 971), (479, 944), (352, 933), (525, 915), (506, 908), (475, 897), (528, 896)]","[(581, 2808), (595, 2798), (515, 2789), (609, 2787), (556, 2783), (615, 2771), (573, 2770), (517, 2770), (541, 2749), (450, 2723), (479, 2718), (609, 2709), (654, 2690), (669, 2688), (431, 2681), (462, 2676), (629, 2673), (659, 2666), (488, 2658), (346, 2616), (489, 2607), (610, 2606), (471, 2605), (424, 2605), (649, 2603), (396, 2596), (517, 2594), (335, 2591), (488, 2586), (510, 2580), (411, 2579), (625, 2577), (527, 2573), (452, 2572), (670, 2570), (429, 2570), (700, 2568), (557, 2563), (459, 2561), (353, 2557), (317, 2556), (555, 2550), (613, 2549), (582, 2547), (429, 2543), (680, 2542), (474, 2539), (357, 2526), (286, 2523), (640, 2517), (274, 2508), (574, 2507), (373, 2499), (262, 2494), (642, 2492), (682, 2485), (441, 2483), (568, 2481), (656, 2461), (291, 2459), (398, 2456), (479, 2452), (420, 2452), (744, 2442), (278, 2442), (204, 2439), (659, 2424), (630, 2424), (385, 2423), (463, 2417), (722, 2411), (313, 2410), (378, 2408), (443, 2406), (428, 2406), (388, 2402), (412, 2400), (316, 2398), (334, 2397), (403, 2392), (708, 2386), (453, 2386), (305, 2380), (393, 2379), (334, 2379), (439, 2374), (247, 2371), (738, 2369), (480, 2369), (509, 2366), (412, 2365), (348, 2363), (474, 2353), (451, 2351), (648, 2350), (591, 2344), (467, 2340), (445, 2333), (418, 2333), (574, 2331), (299, 2330), (349, 2325), (171, 2319), (512, 2318), (253, 2317), (561, 2316), (471, 2315), (456, 2315), (323, 2314), (345, 2311), (294, 2305), (339, 2300), (468, 2293), (492, 2292), (671, 2290), (450, 2284), (524, 2277), (501, 2277), (474, 2277), (288, 2273), (108, 2271), (725, 2265), (499, 2264), (260, 2264), (644, 2261), (485, 2256), (769, 2248), (307, 2248), (455, 2247), (297, 2238), (460, 2230), (730, 2227), (358, 2225), (231, 2224), (570, 2220), (375, 2216), (502, 2209), (473, 2208), (559, 2205), (383, 2204), (710, 2202), (211, 2201), (786, 2197), (621, 2196), (524, 2192), (248, 2190), (765, 2184), (478, 2178), (524, 2177), (219, 2171), (491, 2162), (245, 2160), (827, 2156), (234, 2148), (268, 2141), (436, 2135), (129, 2122), (808, 2118), (180, 2115), (532, 2109), (615, 2107), (460, 2102), (759, 2091), (159, 2084), (485, 2073), (600, 2071), (230, 2070), (724, 2063), (820, 2060), (231, 2060), (166, 2060), (503, 2055), (354, 2055), (228, 2049), (467, 2022), (277, 2019), (716, 1991), (221, 1963), (233, 1947), (211, 1940), (246, 1937), (512, 1936), (185, 1925), (455, 1923), (211, 1922), (302, 1917), (501, 1915), (444, 1913), (412, 1906), (646, 1902), (275, 1896), (509, 1894), (350, 1893), (265, 1893), (429, 1892), (237, 1888), (388, 1886), (455, 1879), (533, 1877), (583, 1874), (213, 1871), (242, 1861), (554, 1857), (541, 1852), (208, 1849), (272, 1842), (259, 1835), (237, 1833), (252, 1824), (438, 1809), (159, 1787), (92, 1777), (549, 1766), (514, 1765), (376, 1765), (153, 1753), (135, 1743), (328, 1742), (492, 1737), (657, 1731), (663, 1711), (167, 1705), (374, 1703), (83, 1697), (173, 1679), (466, 1678), (461, 1649), (352, 1644), (454, 1635), (531, 1632), (479, 1630), (336, 1616), (366, 1614), (468, 1612), (136, 1611), (345, 1606), (205, 1594), (51, 1584), (212, 1576), (429, 1567), (38, 1559), (205, 1557), (450, 1556), (300, 1552), (138, 1547), (475, 1545), (22, 1545), (424, 1537), (123, 1534), (268, 1529), (427, 1524), (120, 1521), (295, 1519), (519, 1517), (276, 1517), (257, 1513), (206, 1511), (194, 1508), (286, 1507), (222, 1501), (302, 1498), (510, 1492), (591, 1486), (174, 1486), (155, 1486), (408, 1482), (667, 1474), (422, 1472), (519, 1470), (133, 1466), (246, 1463), (605, 1451), (422, 1449), (669, 1442), (241, 1440), (70, 1435), (664, 1434), (202, 1431), (271, 1424), (224, 1408), (651, 1407), (281, 1404), (358, 1401), (73, 1397), (590, 1388), (232, 1385), (579, 1383), (492, 1376), (595, 1353), (636, 1349), (347, 1348), (660, 1347), (462, 1321), (252, 1303), (77, 1301), (475, 1296), (320, 1296), (606, 1283), (181, 1282), (437, 1281), (570, 1279), (127, 1278), (640, 1274), (377, 1274), (275, 1273), (279, 1259), (557, 1255), (117, 1251), (734, 1230), (119, 1214), (636, 1211), (119, 1185), (499, 1174), (233, 1172), (346, 1169), (672, 1165), (454, 1165), (269, 1152), (248, 1140), (421, 1130), (703, 1129), (281, 1119), (327, 1113), (426, 1111), (442, 1108), (317, 1103), (409, 1092), (366, 1075), (353, 1072), (327, 1057), (387, 1056), (330, 1024), (474, 1001), (436, 988), (413, 976), (459, 948), (518, 946), (497, 944), (538, 928), (390, 912), (282, 882), (527, 880), (295, 873), (306, 868), (340, 851)]",[],[]
412.jpg,"[(2982, 3448), (680, 2549), (704, 2107), (2588, 860), (2001, 514)]","[(3207, 3385), (3268, 3189), (752, 2418), (818, 2277), (2089, 568), (3133, 225), (3510, 177)]","[(2958, 3504), (2927, 3439), (3068, 3437), (3099, 3428), (2930, 3423), (3034, 3410), (2961, 3407), (3051, 3405), (3071, 3404), (3136, 3391), (2972, 3346), (3031, 3345), (3011, 3343), (2991, 3338), (3058, 3332), (2960, 3328), (3178, 3325), (3034, 3313), (3009, 3313), (2993, 3305), (3067, 3298), (3047, 3287), (3101, 3282), (3079, 3278), (3012, 3278), (3036, 3272), (3118, 3260), (3132, 3248), (3080, 3236), (3125, 3174), (3203, 3157), (670, 2679), (846, 2677), (715, 2669), (768, 2649), (862, 2641), (765, 2621), (718, 2614), (865, 2612), (847, 2604), (781, 2604), (797, 2599), (735, 2599), (854, 2592), (744, 2586), (648, 2586), (686, 2580), (861, 2575), (747, 2558), (849, 2553), (884, 2526), (625, 2523), (854, 2503), (783, 2498), (725, 2496), (855, 2479), (836, 2477), (873, 2475), (805, 2468), (621, 2437), (818, 2436), (685, 2419), (831, 2390), (620, 2386), (664, 2385), (645, 2360), (708, 2332), (728, 2320), (659, 2318), (672, 2289), (721, 2285), (886, 2277), (819, 2241), (741, 2239), (671, 2226), (761, 2192), (746, 2153), (765, 2150), (855, 2115), (717, 2079), (751, 2074), (801, 2064), (736, 2047), (849, 2018), (736, 2018), (840, 1940), (1979, 761), (1998, 724), (1972, 718), (1955, 699), (2018, 687), (1976, 676), (1954, 675), (1987, 673), (2060, 664), (2004, 662), (1969, 644), (1957, 644), (2019, 620), (1989, 620), (1959, 615), (1959, 559), (2062, 449), (1993, 440)]","[(3058, 3425), (2919, 3398), (3087, 3376), (2932, 3349), (3001, 3341), (3039, 3327), (2978, 3288), (3129, 3277), (3104, 3257), (701, 2696), (759, 2665), (684, 2638), (732, 2637), (658, 2624), (678, 2603), (703, 2594), (828, 2584), (781, 2576), (770, 2569), (640, 2561), (599, 2543), (867, 2536), (855, 2530), (749, 2524), (762, 2518), (844, 2516), (800, 2509), (605, 2505), (538, 2490), (733, 2475), (624, 2465), (854, 2463), (843, 2457), (649, 2457), (681, 2454), (830, 2450), (707, 2442), (675, 2440), (606, 2433), (842, 2432), (860, 2427), (721, 2424), (645, 2420), (837, 2410), (777, 2385), (700, 2384), (792, 2379), (722, 2376), (800, 2358), (722, 2340), (641, 2331), (706, 2262), (757, 2257), (728, 2150), (797, 2094), (737, 2064), (772, 2054), (816, 2024), (857, 1968), (1930, 667), (1926, 627)]",[],[]
413.jpg,"[(1155, 2961), (1276, 2682), (989, 2292), (1737, 2078), (1166, 1491), (1950, 1465), (1445, 909), (1464, 749)]","[(1225, 2392), (1147, 1897)]",[],[],[],[]
414.jpg,"[(2804, 1030), (2917, 239), (2438, 163)]","[(1768, 2444), (2180, 1788), (1957, 1777), (1785, 1141), (2870, 1123), (2684, 731), (2757, 401)]","[(2528, 1178), (2933, 1055), (2798, 614), (2670, 393), (2381, 382), (2523, 335), (2221, 292), (2518, 186), (2614, 144), (2291, 120)]","[(2339, 2981), (3029, 1031), (2680, 830), (2565, 815), (2504, 694), (2451, 663), (2617, 619), (2650, 607), (2938, 296), (2298, 281), (2025, 209), (2099, 192), (1606, 48)]",[],[]
415.jpg,"[(863, 3222), (638, 2933), (2230, 2045), (2028, 1912)]",[],"[(813, 3295), (794, 3277), (863, 3276), (842, 3272), (822, 3259), (785, 3252), (870, 3246), (770, 3234), (789, 3214), (818, 3195), (866, 3192), (839, 3172), (808, 3162), (896, 3144), (596, 3001), (629, 2980), (628, 2956), (605, 2934), (2238, 2112)]","[(768, 3273), (889, 3241)]",[],[]
416.jpg,"[(413, 1332), (1200, 114)]","[(1927, 3242), (1953, 3131), (1192, 3115), (1205, 2984), (1305, 2921), (980, 2801), (1279, 2582), (1502, 2471), (887, 2420), (2051, 2391), (702, 2356), (718, 2265), (1843, 1958), (1687, 1919), (930, 1758), (1654, 1689), (1544, 1654), (1795, 1590), (1675, 1504), (1354, 1454), (1427, 1362), (1252, 1337), (864, 1226), (528, 1072), (160, 1062), (1528, 937), (339, 928), (541, 780), (1289, 702), (1817, 691), (164, 659), (640, 474), (707, 224)]","[(663, 2062), (520, 1392), (691, 1359), (578, 1333), (1856, 492), (1722, 352), (785, 147)]","[(2386, 3179), (475, 2114), (611, 2036), (574, 2008), (256, 1917), (1289, 1907), (673, 1896), (729, 1879), (1117, 1831), (586, 1823), (619, 1820), (1149, 1805), (775, 1797), (1187, 1767), (960, 1767), (461, 1762), (595, 1761), (887, 1751), (615, 1721), (377, 1720), (970, 1715), (658, 1703), (753, 1694), (949, 1693), (1050, 1692), (879, 1690), (981, 1687), (1340, 1682), (1001, 1680), (1048, 1671), (1312, 1670), (972, 1663), (1062, 1655), (927, 1653), (769, 1650), (626, 1648), (762, 1618), (1027, 1615), (903, 1615), (1064, 1608), (942, 1606), (583, 1594), (697, 1585), (540, 1584), (910, 1578), (1044, 1568), (576, 1566), (104, 1557), (1668, 1551), (176, 1550), (962, 1543), (1034, 1537), (936, 1531), (896, 1523), (1023, 1518), (1071, 1508), (1597, 1502), (784, 1489), (1077, 1488), (908, 1450), (424, 1447), (351, 1443), (1383, 1435), (718, 1434), (513, 1432), (487, 1431), (554, 1417), (243, 1416), (287, 1414), (323, 1412), (431, 1407), (667, 1406), (400, 1395), (1356, 1390), (268, 1387), (308, 1381), (1661, 1380), (247, 1375), (723, 1374), (1085, 1372), (736, 1371), (786, 1363), (908, 1361), (645, 1361), (760, 1356), (726, 1333), (252, 1324), (777, 1321), (797, 1316), (710, 1299), (889, 1281), (737, 1278), (1413, 1252), (926, 1240), (901, 1226), (1027, 1208), (1013, 1160), (536, 1141), (1137, 1136), (991, 1127), (1206, 1121), (977, 1094), (758, 1078), (1037, 1077), (1264, 1068), (1304, 1059), (345, 1057), (1433, 1053), (1092, 1050), (522, 1046), (827, 1041), (660, 1038), (1285, 1037), (1240, 1030), (851, 1027), (389, 1027), (1317, 1020), (1199, 1017), (152, 1014), (1544, 1011), (718, 1011), (644, 1002), (805, 1001), (1420, 996), (1108, 995), (462, 995), (177, 993), (1331, 988), (1215, 988), (1243, 979), (787, 973), (761, 973), (351, 970), (382, 966), (79, 962), (1299, 959), (255, 956), (372, 955), (609, 954), (458, 952), (1392, 951), (647, 950), (1255, 948), (204, 943), (399, 942), (738, 940), (420, 936), (780, 932), (715, 931), (581, 928), (283, 927), (636, 922), (278, 917), (603, 913), (556, 911), (394, 906), (715, 905), (478, 900), (1511, 899), (824, 898), (1271, 888), (1227, 884), (416, 877), (191, 868), (1626, 862), (1784, 861), (232, 860), (177, 842), (1236, 840), (1883, 828), (143, 828), (1851, 826), (1354, 820), (470, 809), (1456, 804), (1840, 799), (258, 798), (343, 797), (703, 786), (1409, 782), (1502, 781), (154, 781), (453, 777), (97, 772), (299, 767), (634, 766), (1428, 749), (155, 749), (1575, 744), (1282, 744), (510, 743), (1498, 741), (1405, 732), (1331, 728), (56, 717), (1214, 714), (134, 713), (1533, 708), (92, 704), (607, 701), (1705, 699), (2145, 692), (1648, 690), (104, 689), (1, 689), (1357, 688), (376, 687), (586, 686), (1871, 684), (1279, 681), (1387, 680), (624, 679), (2040, 675), (1724, 675), (59, 672), (1424, 668), (94, 668), (42, 665), (1760, 657), (1579, 656), (1258, 653), (368, 647), (1384, 646), (265, 645), (15, 645), (1649, 641), (1035, 641), (1241, 635), (83, 635), (596, 629), (651, 627), (624, 621), (161, 621), (1105, 620), (205, 619), (26, 619), (50, 618), (1468, 616), (1708, 614), (1619, 613), (976, 609), (493, 607), (349, 601), (1220, 598), (1425, 595), (1996, 593), (704, 590), (1042, 589), (2061, 588), (1386, 583), (685, 582), (1139, 580), (148, 573), (11, 571), (1358, 561), (1076, 558), (607, 548), (1027, 546), (1484, 535), (1305, 529), (608, 528), (1867, 527), (1839, 527), (1587, 524), (137, 523), (1217, 511), (203, 509), (1463, 504), (1583, 498), (1494, 490), (1592, 479), (693, 471), (1306, 470), (1469, 468), (1722, 465), (1386, 460), (1322, 460), (1253, 458), (1344, 456), (1646, 451), (681, 448), (348, 428), (176, 428), (1897, 426), (237, 426), (1239, 422), (1278, 405), (708, 398), (12, 387), (984, 372), (752, 362), (372, 360), (1813, 354), (1686, 346), (14, 342), (289, 334), (877, 332), (669, 328), (1192, 324), (904, 323), (161, 321), (1126, 320), (606, 320), (388, 314), (441, 308), (1126, 303), (1101, 303), (171, 303), (699, 302), (1180, 301), (356, 298), (1218, 297), (281, 291), (450, 289), (1061, 285), (422, 279), (628, 278), (254, 277), (1308, 272), (161, 266), (648, 264), (185, 257), (506, 256), (1208, 254), (150, 243), (111, 239), (1, 235), (210, 232), (169, 225), (1158, 215), (11, 212), (1094, 208), (20, 204), (207, 201), (275, 198), (890, 191), (245, 191), (212, 189), (1112, 137)]",[],"[(2021, 3183), (1387, 551)]"
417.jpg,"[(2093, 3280), (1380, 3053), (2576, 2931), (736, 2873), (1460, 2870), (3208, 560)]","[(950, 2870), (1292, 2751)]","[(847, 3215), (943, 3111), (1082, 2732), (1047, 2523)]",[],[],[]
418.jpg,"[(1596, 1892), (1147, 1677), (1494, 1620), (2016, 1592), (1258, 1421), (1236, 1303), (2135, 1277), (1645, 1130), (2032, 1054), (1620, 816)]","[(3119, 3221), (969, 2418), (820, 1952), (825, 1859), (883, 1841), (1925, 1780)]","[(2146, 1960), (1061, 1875), (1003, 1858), (1831, 1842), (1092, 1839), (1752, 1838), (1048, 1815), (1139, 1782), (1622, 1755), (1594, 1736), (1097, 1730), (1735, 1716), (1109, 1714), (1714, 1707), (1860, 1694), (1389, 1692), (1805, 1685), (1648, 1676), (1686, 1673), (1529, 1672), (1627, 1659), (1610, 1658), (1881, 1645), (1261, 1644), (1308, 1640), (1223, 1630), (1241, 1590), (1443, 1574), (1688, 1559), (1461, 1534), (1515, 1522), (1424, 1521), (1568, 1511), (1546, 1510), (1696, 1507), (1612, 1506), (1329, 1502), (1590, 1492), (1526, 1486), (1215, 1482), (1487, 1481), (1544, 1479), (1386, 1470), (1476, 1466), (1434, 1464), (1758, 1460), (1586, 1454), (1872, 1445), (1545, 1435), (1752, 1434), (1768, 1416), (1357, 1416), (1336, 1410), (1324, 1401), (1255, 1399), (1238, 1395), (1196, 1386), (1423, 1381), (1204, 1366), (1795, 1364), (1304, 1361), (1334, 1353), (1817, 1336), (1329, 1334), (1559, 1332), (1791, 1330), (1688, 1317), (1570, 1304), (1772, 1303), (1851, 1284), (1869, 1281), (1504, 1281), (1389, 1277), (1334, 1276), (1758, 1274), (1578, 1272), (1947, 1263), (1626, 1261), (1838, 1260), (1817, 1260), (1672, 1257), (1610, 1253), (1890, 1249), (1855, 1247), (1394, 1247), (1579, 1245), (1910, 1241), (1876, 1238), (1624, 1235), (1405, 1233), (1778, 1231), (1554, 1231), (1820, 1227), (1643, 1226), (1572, 1214), (1742, 1213), (1272, 1212), (1786, 1205), (1514, 1193), (1598, 1191), (1538, 1187), (2096, 1183), (1303, 1177), (1762, 1173), (1988, 1165), (1784, 1165), (1558, 1165), (1525, 1164), (1742, 1163), (1342, 1161), (1881, 1142), (1550, 1141), (1907, 1131), (1764, 1124), (1495, 1123), (1547, 1117), (1576, 1103), (1507, 1102), (1551, 1090), (1708, 1083), (1585, 1080), (1594, 1059), (1612, 1041), (1566, 1032), (1670, 1030), (1929, 998), (1929, 974), (1539, 953), (1870, 939), (1541, 935), (1580, 910), (2218, 893), (1877, 881), (1639, 794)]","[(1230, 1785), (1098, 1775), (1370, 1768), (893, 1761), (1287, 1757), (1134, 1747), (1073, 1746), (1090, 1743), (1283, 1716), (1412, 1703), (1513, 1699), (1115, 1696), (1287, 1689), (1262, 1687), (1084, 1684), (1301, 1678), (1105, 1670), (1392, 1658), (1643, 1650), (1654, 1646), (1537, 1634), (1664, 1633), (1641, 1631), (1203, 1624), (1287, 1604), (1376, 1598), (1323, 1588), (1288, 1588), (1356, 1587), (1796, 1581), (1858, 1579), (1367, 1575), (1377, 1574), (1206, 1572), (1231, 1567), (1184, 1565), (1357, 1558), (1299, 1557), (1704, 1552), (1424, 1542), (1360, 1539), (1214, 1538), (1393, 1533), (1652, 1526), (1608, 1526), (1653, 1515), (1388, 1514), (1599, 1506), (1408, 1505), (1503, 1501), (1627, 1494), (1431, 1490), (1411, 1490), (1638, 1487), (1503, 1486), (1425, 1467), (1559, 1455), (1548, 1450), (1759, 1447), (1196, 1443), (1520, 1442), (1638, 1430), (1479, 1419), (1421, 1411), (1189, 1399), (1702, 1398), (1661, 1398), (1762, 1396), (1496, 1391), (1440, 1387), (1311, 1378), (1552, 1373), (1496, 1373), (1355, 1372), (1745, 1370), (1236, 1365), (1367, 1360), (1655, 1357), (1486, 1354), (1414, 1344), (1495, 1342), (1697, 1341), (1359, 1339), (1467, 1337), (1508, 1332), (1343, 1319), (1886, 1316), (1721, 1314), (1942, 1310), (1860, 1305), (1503, 1305), (1636, 1295), (1428, 1295), (1907, 1291), (1611, 1287), (1886, 1286), (1807, 1281), (1348, 1277), (1798, 1272), (1233, 1269), (1424, 1266), (1660, 1254), (1562, 1253), (1271, 1253), (1248, 1252), (1808, 1246), (1500, 1245), (1797, 1242), (1321, 1238), (1247, 1227), (1620, 1218), (1493, 1210), (1689, 1209), (1248, 1203), (1476, 1192), (1333, 1189), (1729, 1185), (1286, 1184), (1583, 1156), (1590, 1142), (1698, 1135), (1370, 1129), (1691, 1120), (1592, 1118), (1603, 1111), (1957, 1108), (1891, 1104), (1670, 1103), (1620, 1103), (1863, 1098), (1742, 1093), (1634, 1089), (1628, 1068), (1696, 1046), (1696, 1029), (1482, 1025), (1424, 1009), (1607, 991), (1483, 985), (1477, 970), (1556, 916), (1711, 912), (1563, 898), (1735, 897), (1600, 888), (1726, 865), (1874, 802), (1669, 802), (1694, 792), (1634, 775)]",[],[]
419.jpg,"[(2821, 3130), (2847, 2559), (2190, 792)]","[(2520, 2140)]",[],[],[],[]
420.jpg,"[(4112, 1266), (3613, 1170), (4225, 619), (5171, 458), (3256, 394), (2337, 302), (4389, 275), (2632, 62)]","[(2736, 2925), (3721, 2193), (1749, 2111), (2103, 1855), (2229, 974), (3273, 664)]","[(4573, 705), (4604, 580), (4552, 523), (4072, 497), (4629, 490), (4905, 397), (4799, 349), (4891, 315), (4976, 215), (4877, 213), (4689, 181), (4975, 113)]","[(2047, 1571), (4576, 518), (4883, 448), (4881, 384)]","[(4475, 685), (4574, 684), (4634, 582), (4865, 544), (4096, 509), (4637, 450), (4745, 448), (4877, 417), (4907, 330), (4796, 255), (4870, 244), (4926, 230), (4681, 215), (4829, 149), (4875, 131), (4968, 69)]",[]
